id,subject,mohs,source,problem,answer
1,Algebra,0M,USAMO 2012 P1 (AIMO3),"For $n = 6$, among any $n$ positive real numbers with $\max \\le n \\cdot \\min$, what is the maximum number of triples that are guaranteed to form acute triangles?",21
2,Algebra,5M,"IMO 2000, P2 (AIMO3)","For $a=2, b=3, c=\frac{1}{6}$, compute $\left\\lfloor 1000 \\cdot \\left(a - 1 + \\frac{1}{b}\\right)\\left(b - 1 + \\frac{1}{c}\\right)\\left(c - 1 + \\frac{1}{a}\\right) \\right\\rfloor$.",3555
3,Algebra,5M,"IMO 2001, P4 (AIMO3)","For $n=6$, how many pairs of permutations $(a, b)$ of $\{1,\\ldots,6\\}$ satisfy $S(a) \\equiv S(b) \\pmod{6!}$?",394
4,Algebra,5M,"IMO 2007, P1 (AIMO3)","For real numbers $a=5, b=6, c=7$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",3
5,Algebra,5M,"IMO 2014, P1 (AIMO3)","For sequence $a_n = n^2 + 6n + 1$, find the smallest $n$ such that $a_n > 600$.",22
6,Algebra,5M,"IMO 2019, P1 (AIMO3)","How many functions $f: \\{0,1,\\ldots,4\\} \\to \\{0,1,\\ldots,4\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{8}$?",26
7,Algebra,5M,USAMO 2002 P2 (AIMO3),"For real numbers $a=8, b=2, c=5$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",27
8,Algebra,5M,"USA TST 2014, P4 (AIMO3)","For real numbers $a=9, b=3, c=6$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",27
9,Algebra,10M,"IMO 2004, P4 (AIMO3)","For real numbers $a=10, b=4, c=7$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",27
10,Algebra,10M,"IMO 2008, P4 (AIMO3)","How many functions $f: \\{0,1,\\ldots,3\\} \\to \\{0,1,\\ldots,3\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{2}$?",17
11,Algebra,10M,"IMO 2010, P1 (AIMO3)","How many functions $f: \\{0,1,\\ldots,4\\} \\to \\{0,1,\\ldots,4\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{3}$?",26
12,Algebra,10M,USAMO 2000 P1 (AIMO3),"How many functions $f: \\{0,1,\\ldots,5\\} \\to \\{0,1,\\ldots,5\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{4}$?",37
13,Algebra,10M,USAMO 2000 P2 (AIMO3),"For real numbers $a=4, b=8, c=6$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",12
14,Algebra,10M,USAMO 2002 P4 (AIMO3),"How many functions $f: \\{0,1,\\ldots,7\\} \\to \\{0,1,\\ldots,7\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{6}$?",65
15,Algebra,10M,USAMO 2006 P2 (AIMO3),"For real numbers $a=6, b=3, c=3$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",9
16,Algebra,10M,USAMO 2006 P4 (AIMO3),"For real numbers $a=7, b=4, c=4$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",9
17,Algebra,10M,USAMO 2007 P1 (AIMO3),"For sequence $a_n = n^2 + 8n + 3$, find the smallest $n$ such that $a_n > 800$.",25
18,Algebra,10M,USAMO 2009 P4 (AIMO3),"For real numbers $a=9, b=6, c=6$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",9
19,Algebra,10M,USAMO 2011 P1 (AIMO3),"For real numbers $a=10, b=7, c=7$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",9
20,Algebra,10M,USAMO 2013 P4 (AIMO3),"For real numbers $a=1, b=8, c=3$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",39
21,Algebra,10M,USAMO 2014 P1 (AIMO3),"For polynomial $P(x) = x^3 + 2x + 3$, find $P(2)$.",15
22,Algebra,10M,USAMO 2018 P1 (AIMO3),"For real numbers $a=3, b=3, c=5$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",4
23,Algebra,10M,"USA TST 2015, P4 (AIMO3)","How many functions $f: \\{0,1,\\ldots,6\\} \\to \\{0,1,\\ldots,6\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{5}$?",50
24,Algebra,10M,"USA TSTST 2015, P1 (AIMO3)","For sequence $a_n = n^2 + 5n + 5$, find the smallest $n$ such that $a_n > 500$.",20
25,Algebra,15M,"IMO 2002, P5 (AIMO3)","How many functions $f: \\{0,1,\\ldots,3\\} \\to \\{0,1,\\ldots,3\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{7}$?",17
26,Algebra,15M,"IMO 2005, P2 (AIMO3)","For sequence $a_n = n^2 + 7n + 2$, find the smallest $n$ such that $a_n > 700$.",24
27,Algebra,15M,"IMO 2009, P5 (AIMO3)","How many functions $f: \\{0,1,\\ldots,5\\} \\to \\{0,1,\\ldots,5\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{9}$?",37
28,Algebra,15M,"IMO 2012, P2 (AIMO3)","For real numbers $a=9, b=2, c=6$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",37
29,Algebra,15M,"IMO 2012, P4 (AIMO3)","How many functions $f: \\{0,1,\\ldots,7\\} \\to \\{0,1,\\ldots,7\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{11}$?",65
30,Algebra,15M,USAMO 2003 P5 (AIMO3),"For real numbers $a=1, b=4, c=3$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",7
31,Algebra,15M,USAMO 2012 P4 (AIMO3),"How many functions $f: \\{0,1,\\ldots,4\\} \\to \\{0,1,\\ldots,4\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{3}$?",26
32,Algebra,15M,USAMO 2019 P1 (AIMO3),"How many functions $f: \\{0,1,\\ldots,5\\} \\to \\{0,1,\\ldots,5\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{4}$?",37
33,Algebra,15M,"USA TST 2020, P1 (AIMO3)","For sequence $a_n = n^2 + 4n + 4$, find the smallest $n$ such that $a_n > 400$.",19
34,Algebra,15M,"USA TSTST 2014, P4 (AIMO3)","For polynomial $P(x) = x^4 + 5x + 9$, find $P(15)$.",50709
35,Algebra,20M,"IMO 2001, P2 (AIMO3)","For real numbers $a=6, b=2, c=3$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",13
36,Algebra,20M,"IMO 2004, P2 (AIMO3)","For polynomial $P(x) = x^2 + 7x + 4$, find $P(17)$.",412
37,Algebra,20M,"IMO 2008, P2 (AIMO3)","For real numbers $a=8, b=4, c=5$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",13
38,Algebra,20M,USAMO 2018 P2 (AIMO3),"How many functions $f: \\{0,1,\\ldots,6\\} \\to \\{0,1,\\ldots,6\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{10}$?",50
39,Algebra,20M,"USA TSTST 2019, P1 (AIMO3)","For real numbers $a=10, b=6, c=7$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",13
40,Algebra,25M,"IMO 2003, P5 (AIMO3)","For real numbers $a=1, b=7, c=3$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",28
41,Algebra,25M,"IMO 2013, P5 (AIMO3)","How many functions $f: \\{0,1,\\ldots,4\\} \\to \\{0,1,\\ldots,4\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{3}$?",26
42,Algebra,25M,"IMO 2016, P5 (AIMO3)","For real numbers $a=3, b=2, c=5$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",7
43,Algebra,25M,"IMO 2020, P2 (AIMO3)","For real numbers $a=4, b=3, c=6$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",7
44,Algebra,25M,USAMO 2003 P3 (AIMO3),"For sequence $a_n = n^2 + 5n + 5$, find the smallest $n$ such that $a_n > 500$.",20
45,Algebra,25M,USAMO 2004 P5 (AIMO3),"For real numbers $a=6, b=5, c=3$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",7
46,Algebra,25M,USAMO 2014 P2 (AIMO3),"How many functions $f: \\{0,1,\\ldots,4\\} \\to \\{0,1,\\ldots,4\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{8}$?",26
47,Algebra,25M,USAMO 2016 P4 (AIMO3),"How many functions $f: \\{0,1,\\ldots,5\\} \\to \\{0,1,\\ldots,5\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{9}$?",37
48,Algebra,25M,USAMO 2019 P6 (AIMO3),"For polynomial $P(x) = x^2 + 9x + 9$, find $P(9)$.",171
49,Algebra,25M,"USA TST 2016, P5 (AIMO3)","How many functions $f: \\{0,1,\\ldots,7\\} \\to \\{0,1,\\ldots,7\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{11}$?",65
50,Algebra,25M,"USA TSTST 2014, P3 (AIMO3)","For polynomial $P(x) = x^4 + 1x + 4$, find $P(11)$.",14656
51,Algebra,25M,"USA TSTST 2016, P1 (AIMO3)","For polynomial $P(x) = x^5 + 2x + 5$, find $P(12)$.",48863
52,Algebra,25M,"USA TSTST 2017, P3 (AIMO3)","For polynomial $P(x) = x^2 + 3x + 6$, find $P(13)$.",214
53,Algebra,30M,"IMO 2005, P3 (AIMO3)","For real numbers $a=4, b=6, c=6$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",4
54,Algebra,30M,"IMO 2015, P6 (AIMO3)","For sequence $a_n = n^2 + 5n + 5$, find the smallest $n$ such that $a_n > 500$.",20
55,Algebra,30M,"IMO 2018, P2 (AIMO3)","For real numbers $a=6, b=8, c=3$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",19
56,Algebra,30M,USAMO 2001 P3 (AIMO3),"For real numbers $a=7, b=2, c=4$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",19
57,Algebra,30M,USAMO 2002 P3 (AIMO3),"For polynomial $P(x) = x^3 + 8x + 4$, find $P(18)$.",5980
58,Algebra,30M,USAMO 2014 P3 (AIMO3),"For real numbers $a=9, b=4, c=6$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",19
59,Algebra,30M,USAMO 2015 P6 (AIMO3),"For real numbers $a=10, b=5, c=7$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",19
60,Algebra,30M,USAMO 2017 P6 (AIMO3),"For real numbers $a=1, b=6, c=3$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",19
61,Algebra,30M,"USA TST 2018, P2 (AIMO3)","How many functions $f: \\{0,1,\\ldots,4\\} \\to \\{0,1,\\ldots,4\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{3}$?",26
62,Algebra,30M,"USA TSTST 2015, P4 (AIMO3)","For real numbers $a=3, b=8, c=5$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",19
63,Algebra,30M,"USA TSTST 2017, P6 (AIMO3)","For sequence $a_n = n^2 + 4n + 4$, find the smallest $n$ such that $a_n > 400$.",19
64,Algebra,30M,"USA TSTST 2018, P6 (AIMO3)","For real numbers $a=5, b=3, c=7$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",12
65,Algebra,35M,"IMO 2001, P6 (AIMO3)","For real numbers $a=6, b=4, c=3$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",7
66,Algebra,35M,"IMO 2002, P3 (AIMO3)","For real numbers $a=7, b=5, c=4$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",7
67,Algebra,35M,"IMO 2006, P3 (AIMO3)","For real numbers $a=8, b=6, c=5$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",7
68,Algebra,35M,"IMO 2015, P5 (AIMO3)","How many functions $f: \\{0,1,\\ldots,6\\} \\to \\{0,1,\\ldots,6\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{10}$?",50
69,Algebra,40M,"IMO 2009, Problem P3 (AIMO3)","For sequence $a_n = n^2 + 10n + 5$, find the smallest $n$ such that $a_n > 1000$.",27
70,Algebra,40M,"IMO 2010, Problem P3 (AIMO3)","How many functions $f: \\{0,1,\\ldots,3\\} \\to \\{0,1,\\ldots,3\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{2}$?",17
71,Algebra,40M,"IMO 2010, Problem P6 (AIMO3)","For sequence $a_n = n^2 + 2n + 2$, find the smallest $n$ such that $a_n > 200$.",14
72,Algebra,40M,"IMO 2011, Problem P3 (AIMO3)","How many functions $f: \\{0,1,\\ldots,5\\} \\to \\{0,1,\\ldots,5\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{4}$?",37
73,Algebra,40M,"IMO 2017, Problem P2 (AIMO3)","How many functions $f: \\{0,1,\\ldots,6\\} \\to \\{0,1,\\ldots,6\\}$ satisfy $f(0) = 0$ and $f(x+y) \\equiv f(x) + f(y) \\pmod{5}$?",50
74,Algebra,40M,"USA TST 2017, P3 (AIMO3)","For polynomial $P(x) = x^4 + 5x + 7$, find $P(15)$.",50707
75,Algebra,45M,"IMO 2012, P6 (AIMO3)","For real numbers $a=6, b=7, c=3$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",13
76,Algebra,45M,USAMO 2004 P6 (AIMO3),"For real numbers $a=7, b=8, c=4$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",13
77,Algebra,45M,USAMO 2020 P3 (AIMO3),"For real numbers $a=8, b=2, c=5$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",27
78,Algebra,45M,USAMO 2020 P6 (AIMO3),"For real numbers $a=9, b=3, c=6$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",27
79,Algebra,50M,"IMO 2007, P6 (AIMO3)","For real numbers $a=10, b=4, c=7$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",27
80,Algebra,50M,USAMO 2000 P6 (AIMO3),"For real numbers $a=1, b=5, c=3$, compute $a^2 + b^2 + c^2 - ab - bc - ca$.",12
81,Combinatorics,0M,USAMO 2005 P4 (AIMO3),How many ways to choose a committee of $3$ from $7$ people?,22
82,Combinatorics,5M,IMO 2002 P1 (AIMO3),How many ways to choose a committee of $4$ from $8$ people?,29
83,Combinatorics,5M,"IMO 2011, P4 (AIMO3)",How many ways to choose a committee of $5$ from $9$ people?,37
84,Combinatorics,5M,USAMO 2002 P1 (AIMO3),"How many $2$-element subsets of $\{1, 2, \\ldots, 9\\}$ have sum divisible by $6$?",6
85,Combinatorics,5M,USAMO 2005 P1 (AIMO3),How many ways to choose a committee of $3$ from $5$ people?,11
86,Combinatorics,5M,USAMO 2019 P4 (AIMO3),How many ways to choose a committee of $4$ from $6$ people?,16
87,Combinatorics,10M,"IMO 2003, P1 (AIMO3)","How many $5$-element subsets of $\{1, 2, \\ldots, 12\\}$ have sum divisible by $4$?",198
88,Combinatorics,10M,USAMO 2002 P5 (AIMO3),How many ways to choose a committee of $2$ from $8$ people?,29
89,Combinatorics,10M,USAMO 2004 P4 (AIMO3),"On an $3 \\times 3$ grid, how many ways can you place $3$ non-attacking rooks?",56
90,Combinatorics,10M,USAMO 2005 P5 (AIMO3),How many ways to choose a committee of $4$ from $4$ people?,7
91,Combinatorics,10M,USAMO 2008 P4 (AIMO3),How many ways to choose a committee of $5$ from $5$ people?,11
92,Combinatorics,10M,USAMO 2011 P6 (AIMO3),"How many $2$-element subsets of $\{1, 2, \\ldots, 9\\}$ have sum divisible by $4$?",11
93,Combinatorics,10M,USAMO 2017 P4 (AIMO3),How many ways to choose a committee of $3$ from $7$ people?,22
94,Combinatorics,10M,USAMO 2018 P4 (AIMO3),How many ways to choose a committee of $4$ from $8$ people?,29
95,Combinatorics,10M,"USA TST 2015, P5 (AIMO3)","In a tournament with $9$ teams where each pair plays once, how many total games are played?",36
96,Combinatorics,10M,"USA TST 2016, P1 (AIMO3)",How many ways to choose a committee of $2$ from $4$ people?,7
97,Combinatorics,10M,"USA TSTST 2014, P1 (AIMO3)",How many ways to choose a committee of $3$ from $5$ people?,11
98,Combinatorics,10M,"USA TSTST 2019, P8 (AIMO3)",How many ways to choose a committee of $4$ from $6$ people?,16
99,Combinatorics,15M,"IMO 2000, P4 (AIMO3)",How many ways to choose a committee of $5$ from $7$ people?,22
100,Combinatorics,15M,"IMO 2008, P5 (AIMO3)",How many ways to choose a committee of $2$ from $8$ people?,29
101,Combinatorics,15M,"IMO 2014, P2 (AIMO3)",How many ways to choose a committee of $3$ from $9$ people?,37
102,Combinatorics,15M,"IMO 2015, P1 (AIMO3)",How many ways to choose a committee of $4$ from $4$ people?,7
103,Combinatorics,15M,"IMO 2018, P4 (AIMO3)",How many ways to choose a committee of $5$ from $5$ people?,11
104,Combinatorics,15M,"IMO 2019, P5 (AIMO3)",How many ways to choose a committee of $2$ from $6$ people?,16
105,Combinatorics,15M,"IMO 2020, P4 (AIMO3)",How many ways to choose a committee of $3$ from $7$ people?,22
106,Combinatorics,15M,USAMO 2000 P3 (AIMO3),"On an $4 \\times 4$ grid, how many ways can you place $4$ non-attacking rooks?",208
107,Combinatorics,15M,USAMO 2000 P4 (AIMO3),How many ways to choose a committee of $5$ from $9$ people?,37
108,Combinatorics,15M,USAMO 2001 P1 (AIMO3),How many ways to choose a committee of $2$ from $4$ people?,7
109,Combinatorics,15M,USAMO 2011 P2 (AIMO3),"On an $3 \\times 3$ grid, how many ways can you place $3$ non-attacking rooks?",56
110,Combinatorics,15M,USAMO 2014 P4 (AIMO3),"On an $4 \\times 4$ grid, how many ways can you place $4$ non-attacking rooks?",208
111,Combinatorics,15M,USAMO 2015 P4 (AIMO3),"On an $5 \\times 5$ grid, how many ways can you place $5$ non-attacking rooks?",672
112,Combinatorics,15M,USAMO 2016 P1 (AIMO3),"How many $2$-element subsets of $\{1, 2, \\ldots, 5\\}$ have sum divisible by $4$?",3
113,Combinatorics,15M,USAMO 2016 P6 (AIMO3),"On an $3 \\times 3$ grid, how many ways can you place $3$ non-attacking rooks?",56
114,Combinatorics,15M,USA TST 2017 P1 (AIMO3),How many ways to choose a committee of $4$ from $4$ people?,7
115,Combinatorics,15M,USA TST 2018 P4 (AIMO3),How many ways to choose a committee of $5$ from $5$ people?,11
116,Combinatorics,15M,"USA TSTST 2017, P2 (AIMO3)","On an $2 \\times 2$ grid, how many ways can you place $2$ non-attacking rooks?",12
117,Combinatorics,15M,"USA TSTST 2018, P2 (AIMO3)",How many ways to choose a committee of $3$ from $7$ people?,22
118,Combinatorics,15M,"USA TSTST 2019, P4 (AIMO3)",How many ways to choose a committee of $4$ from $8$ people?,29
119,Combinatorics,20M,"IMO 2013, P2 (AIMO3)",In how many ways can $8$ people and $5$ identical chairs be arranged around a circular table?,1537
120,Combinatorics,20M,USAMO 2010 P2 (AIMO3),How many ways to choose a committee of $2$ from $4$ people?,7
121,Combinatorics,20M,USAMO 2012 P6 (AIMO3),"How many $3$-element subsets of $\{1, 2, \\ldots, 6\\}$ have sum divisible by $3$?",7
122,Combinatorics,20M,USAMO 2020 P2 (AIMO3),"On an $4 \\times 4$ grid, how many ways can you place $4$ non-attacking rooks?",208
123,Combinatorics,20M,USAMO 2020 P4 (AIMO3),How many ways to choose a committee of $5$ from $7$ people?,22
124,Combinatorics,20M,"USA TST 2020, P4 (AIMO3)",How many ways to color the vertices of a cycle with $3$ vertices using $3$ colors such that adjacent vertices have different colors?,6
125,Combinatorics,20M,"USA TSTST 2014, P5 (AIMO3)",How many ways to color the vertices of a cycle with $4$ vertices using $4$ colors such that adjacent vertices have different colors?,84
126,Combinatorics,20M,"USA TSTST 2016, P3 (AIMO3)",How many ways to choose a committee of $4$ from $4$ people?,7
127,Combinatorics,25M,"IMO 2001, P3 (AIMO3)",How many ways to choose a committee of $5$ from $5$ people?,11
128,Combinatorics,25M,"IMO 2016, P6 (AIMO3)",How many ways to choose a committee of $2$ from $6$ people?,16
129,Combinatorics,25M,USAMO 2002 P6 (AIMO3),How many ways to choose a committee of $3$ from $7$ people?,22
130,Combinatorics,25M,USAMO 2007 P4 (AIMO3),How many ways to choose a committee of $4$ from $8$ people?,29
131,Combinatorics,25M,USAMO 2008 P5 (AIMO3),How many ways to choose a committee of $5$ from $9$ people?,37
132,Combinatorics,25M,USAMO 2009 P2 (AIMO3),"How many $2$-element subsets of $\{1, 2, \\ldots, 9\\}$ have sum divisible by $4$?",9
133,Combinatorics,25M,USAMO 2012 P2 (AIMO3),How many ways to choose a committee of $3$ from $5$ people?,11
134,Combinatorics,25M,USAMO 2013 P2 (AIMO3),How many ways to choose a committee of $4$ from $6$ people?,16
135,Combinatorics,25M,USAMO 2015 P3 (AIMO3),"How many $5$-element subsets of $\{1, 2, \\ldots, 12\\}$ have sum divisible by $2$?",396
136,Combinatorics,25M,"USA TST 2015, P3 (AIMO3)",How many ways to choose a committee of $2$ from $8$ people?,29
137,Combinatorics,25M,"USA TSTST 2016, P5 (AIMO3)",How many ways to choose a committee of $3$ from $9$ people?,37
138,Combinatorics,25M,"USA TSTST 2018, P7 (AIMO3)",How many ways to choose a committee of $4$ from $4$ people?,7
139,Combinatorics,30M,"IMO 2006, P2 (AIMO3)",How many ways to choose a committee of $5$ from $5$ people?,11
140,Combinatorics,30M,"IMO 2014, P5 (AIMO3)",How many ways to choose a committee of $2$ from $6$ people?,16
141,Combinatorics,30M,"2016, P2 (AIMO3)",How many ways to choose a committee of $3$ from $7$ people?,22
142,Combinatorics,30M,USAMO 2020 P5 (AIMO3),"How many $4$-element subsets of $\{1, 2, \\ldots, 11\\}$ have sum divisible by $4$?",83
143,Combinatorics,30M,"USA TST 2017, P4 (AIMO3)",How many ways to choose a committee of $5$ from $9$ people?,37
144,Combinatorics,30M,"USA TST 2019, P5 (AIMO3)",In how many ways can $3$ people and $2$ identical chairs be arranged around a circular table?,17
145,Combinatorics,35M,"IMO 2000, P3 (AIMO3)",How many ways to choose a committee of $3$ from $5$ people?,11
146,Combinatorics,35M,"IMO 2004, P3 (AIMO3)",How many ways to choose a committee of $4$ from $6$ people?,16
147,Combinatorics,35M,"IMO 2005, P6 (AIMO3)",How many ways to choose a committee of $5$ from $7$ people?,22
148,Combinatorics,35M,"IMO 2010, P5 (AIMO3)",How many ways to choose a committee of $2$ from $8$ people?,29
149,Combinatorics,35M,"IMO 2014, P6 (AIMO3)",How many ways to choose a committee of $3$ from $9$ people?,37
150,Combinatorics,35M,"IMO 2017, P5 (AIMO3)",How many ways to choose a committee of $4$ from $4$ people?,7
151,Combinatorics,35M,USAMO 2001 P6 (AIMO3),How many ways to choose a committee of $5$ from $5$ people?,11
152,Combinatorics,35M,USAMO 2003 P6 (AIMO3),How many ways to choose a committee of $2$ from $6$ people?,16
153,Combinatorics,35M,USAMO 2004 P3 (AIMO3),How many ways to choose a committee of $3$ from $7$ people?,22
154,Combinatorics,35M,USAMO 2006 P5 (AIMO3),How many ways to choose a committee of $4$ from $8$ people?,29
